step,atom,atomic_number,molecule,solv_molecule,coord_x,coord_y,coord_z,force_x,force_y,force_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,interaction_energy
18,C,6,frag2,water,11.89100504,13.68845463,12.91215181,-0.0093780076,0.0388176471,0.0221202536,0.02420402,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_0,-232.188476,-232.1765887852,-0.011887214799997992
18,C,6,frag2,water,12.79513472,14.19239398,13.9154958,0.0230046256,-0.0255424063,-0.0234476675,0.00920626,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_1,-232.188476,-232.1765887852,-0.011887214799997992
18,C,6,frag2,water,13.98840293,13.46789362,14.05765168,-0.018227687,0.0093164738,0.0088952254,0.005544,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_2,-232.188476,-232.1765887852,-0.011887214799997992
18,C,6,frag2,water,14.39674359,12.49145517,13.10952186,0.0176590509,0.0052450384,-0.0049879435,0.0063386,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_3,-232.188476,-232.1765887852,-0.011887214799997992
18,C,6,frag2,water,13.45282305,12.04503906,12.22312932,-0.0048957715,-0.0239559212,-0.0213335165,0.00627998,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_4,-232.188476,-232.1765887852,-0.011887214799997992
18,C,6,frag2,water,12.16321586,12.59659656,12.14016563,-0.0058745599,-0.0263293661,-0.0106813744,0.01770105,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_5,-232.188476,-232.1765887852,-0.011887214799997992
18,H,1,frag2,water,10.90910561,14.16900274,12.84097673,0.014640408,-0.011354093,-0.0005068639,-0.00040853,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_6,-232.188476,-232.1765887852,-0.011887214799997992
18,H,1,frag2,water,12.51175279,15.00796309,14.58978045,-0.0062191813,0.0190954843,0.0165231788,-0.01609891,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_7,-232.188476,-232.1765887852,-0.011887214799997992
18,H,1,frag2,water,14.58459954,13.80718589,14.91178975,-0.008943373,0.0004767604,0.0014944214,-0.00770266,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_8,-232.188476,-232.1765887852,-0.011887214799997992
18,H,1,frag2,water,15.38039302,12.03336251,13.26020477,0.0051881078,-0.0024777303,0.0021657574,0.00829359,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_9,-232.188476,-232.1765887852,-0.011887214799997992
18,H,1,frag2,water,13.73916375,11.2815358,11.49156105,-0.0067076291,0.0172366638,0.0112228296,-0.00806234,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_10,-232.188476,-232.1765887852,-0.011887214799997992
18,H,1,frag2,water,11.46916392,12.22636471,11.37770903,0.0005625244,-0.0016665964,-0.0019810186,0.00153992,frag2_snap_frag2_water_5500,frag2_snap_frag2_water_5500_11,-232.188476,-232.1765887852,-0.011887214799997992
